Product Name,Price,Category
Bon Gusto pita od jabuka 420g,"4,62 €",kroasani i kolaci 
Panero krušne mrvice 500 g,"1,32 €",mlinci i krusne mrvice 
Klara mlinci s jajima 250 g,"2,02 €",mlinci i krusne mrvice 
Klara krušne mrvice 500 g,"1,37 €",mlinci i krusne mrvice 
Klara krušne mrvice 250 g,"1,37 €",mlinci i krusne mrvice 
"Vindija 'z bregov ledena kava 0,2 l","1,49 €",food coffee  go 
Dukat parmalat ledena kava cappuccino 200 ml,"2,12 €",food coffee  go 
Landessa cappuccino napitak 230ml,"2,42 €",food coffee  go 
Landessa ledena kava latte macchiato 230 ml,"2,42 €",food coffee  go 
Dukat parmalat ledena kava macchiato 200 ml,"2,12 €",food coffee  go 
Avokado,"1,46 €",voce 
Jabuka 2 kg,"1,98 €",voce 
Kiwi 1 kg,"3,03 € / kg",voce 
Ananas kom,"2,09 € / kg",voce 
Kruška Abata 1kg,"2,49 € / kg",voce 
Naranča 1kg,"1,79 € / kg",voce 
Limun 1 kg,"0,85 € / kg",voce 
Jabuka Zlatni Delišes 1kg,"0,98 € / kg",voce 
Bijelo grožđe 1 kg,"5,49 € / kg",voce 
Jabuka Zlatni Delišeš 1 kg,"0,98 € / kg",voce 
Jabuka Jonagold 1 kg,"1,67 € / kg",voce 
Blitva 1kg,"3,14 € / kg",povrce 
Peršin 100 g,"1,56 €",povrce 
Celer Korijen 1kg,"1,77 € / kg",povrce 
Vedameno kiselo zelje glava,"1,88 € / kg",povrce 
Brokula 500g,"1,77 €",povrce 
Krumpir Bijeli 1kg,"0,99 € / kg",povrce 
Kupus 1kg,"0,93 € / kg",povrce 
Luk crveni rukavac 3/1,"1,35 €",povrce 
Luk ljubičasti rukavac 3/1,"1,35 €",povrce 
Verdeamo grah šareni 500 g,"2,09 €",povrce 
Kelj mladi 1kg,"2,09 € / kg",povrce 
Verdameo kiselo rezano zelje 500 g,"1,04 €",povrce 
Češnjak cca. 250 g kom,"2,09 €",povrce 
Batat 1kg,"2,09 € / kg",povrce 
Šampinjoni 500g,"1,99 €",povrce 
Krastavac 1kg,"2,69 € / kg",povrce 
Cvjetača 1kg,"2,72 € / kg",povrce 
Salata Kristal Komad,"0,99 €",povrce 
Povrće za juhu 500 g,"0,88 €",povrce 
Tikvica 1kg,"2,09 € / kg",povrce 
Rajčica Salatna 1kg,"2,61 € / kg",povrce 
Paprika Babura 1kg,"2,99 € / kg",povrce 
Rajčica Grapolo 1kg,"2,99 € / kg",povrce 
Mrkva 1kg,"0,89 € / kg",povrce 
Voćarna studenac rajčica cherry 500 g,"2,69 €",povrce 
Mrkva Voćarna Studenac 1 kg,"1,49 €",povrce 
Voćarna Studenac rukola 100 g,"0,69 €",povrce 
Blitva,"3,14 € / kg",povrce 
Voćarna Studenac Gurmanska mješavina 150 g,"1,49 €",povrce 
Krumpir rinfuza 1 kg,"0,99 € / kg",povrce 
Poriluk 1 kg,"2,51 € / kg",povrce 
"Voćarna Studenac krumpir oprani 2,5 kg","2,99 €",povrce 
Voćarna Studenac šampinjoni 250 g,"1,53 €",povrce 
Verdeamo mješavina mahunarki 500 g,"1,65 €",orasidi suho voce i povrce 
Frusecca grožđice 250 g,"1,65 €",orasidi suho voce i povrce 
Frusecca brusnica sušena 150 g,"2,22 €",orasidi suho voce i povrce 
Frusecca kokosovo brašno 200 g,"1,27 €",orasidi suho voce i povrce 
Verdeamo leća zelena 500 g,"1,95 €",orasidi suho voce i povrce 
Verdeamo slanutak 500 g,"1,65 €",orasidi suho voce i povrce 
Frusecca badem 200 g,"2,99 €",orasidi suho voce i povrce 
Kikiriki u ljusci pečeni 400 g,"2,69 €",orasidi suho voce i povrce 
"Dukat trajno mlijeko 2,8% m.m. 1 l","1,02 €",mlijeko 
"Vindija 'z bregov trajno mlijeko 2,8 % m.m. 0,5 l","1,19 €",mlijeko 
"Vindija 'z bregov trajno mlijeko 2,8% m.m. s čepom 1 l","1,02 €",mlijeko 
"Z bregov mlijeko uht 0,9% mm light 1 l","1,72 €",mlijeko 
"Vindija 'z bregov kozje mlijeko 0,5 l","1,75 €",mlijeko 
Vindija 'z bregov kozje mlijeko 1 l,"2,82 €",mlijeko 
"Dukat trajno mlijeko 2,8 % m.m. 1 l","1,02 €",mlijeko 
"Z bregov mlijeko 2,8% mm vitamin d 1 l","1,02 €",mlijeko 
"Dukat alpsko trajno mlijeko 1,5 % m.m. 1 l","2,59 €",mlijeko 
"Vindija 'z bregov trajno mlijeko 2,8% m.m. 0,2 l","0,74 €",mlijeko 
"Dukat mlijeko trajno 2,8 % m.m. 500 ml","1,17 €",mlijeko 
"Dukat mlijeko za kavu 3,8 % m.m. 0,5 l","1,17 €",mlijeko 
"Dukat trajno mlijeko 2,8 % m.m. 0,5 l","1,27 €",mlijeko 
"Dukat mlijeko čokoladno 0,5 l","1,67 €",mlijeko 
"Meggle mlijeko lactofree 1,5% mm 1 l","2,12 €",mlijeko 
"Alpsko trajno mlijeko 3,5% m.m. 1 l","2,05 €",mlijeko 
Vindija 'z bregov mlijeko bez laktoze 1 l,"2,25 €",mlijeko 
"Dukat trajno mlijeko 3,8 % m.m. 1 l","1,95 €",mlijeko 
Dukat čokoladno mlijeko 1 l,"2,72 €",mlijeko 
"Z bregov mlijeko svježe 3,2% mm 1 l","1,72 €",mlijeko 
Alpro napitak soya original 1 l,"3,45 €",mlijeko 
"Dukat lagano jutro mlijeko 3,8 % m.m. 1 l","1,69 €",mlijeko 
"Dukat lagano jutro mlijeko bez laktoze 1,5 % m.m. 1 l","1,69 €",mlijeko 
"Vindija 'z bregov trajno mlijeko 2,8% m.m. s čepom 2 l","1,99 €",mlijeko 
"Dukat čokoladno mlijeko crna čokolada 0,5 l","1,87 €",mlijeko 
Vindija 'z bregov trajno mlijeko 2.8% m.m. 1 l,"1,02 €",mlijeko 
"Dukat čokoladno mlijeko 0,2 l","1,12 €",mlijeko 
"Dukat svježe mlijeko 3,2 % m.m. 1 l","1,48 €",mlijeko 
"Vindija 'z bregov svježe mlijeko 3,2 % m.m. 1,75 l","2,75 €",mlijeko 
"Vindija 'z bregov čokoladno mlijeko 0,5 l","1,82 €",mlijeko 
"Dukat svježe mlijeko 3,2% m.m. 1,5 l","2,18 €",mlijeko 
Alpro napitak badem 1 l,"4,25 €",mlijeko 
"Vindija 'z bregov svježe mlijeko 3,2% m.m. 1 l","1,29 €",mlijeko 
Alpro napitak badem bez šećera 1 l,"4,25 €",mlijeko 
"Vindija 'z bregov jogurt 2,8% m.m. 500 g","1,65 €",jogurt 
Dukatos selection okus kokos 150 g,"1,12 €",jogurt 
Dukat dukatos grčki tip jogurta natur 450 g,"2,72 €",jogurt 
Vindija fortia jogurt višnja 330 g,"1,69 €",jogurt 
"Dukat jogurt tekući 2,8% m.m. 180 g","0,49 €",jogurt 
Dukat jogurt čvrsti 180 g,"0,49 €",jogurt 
"Vindija 'z bregov jogurt 2,8% m.m. 200 g","0,49 €",jogurt 
Vindija 'z bregov jogurt 200 g,"0,49 €",jogurt 
Dukatos selection vanilija 150 g,"1,12 €",jogurt 
"Vindija 'z bregov jogurt 2,8% m.m 1 kg","2,62 €",jogurt 
"Z Bregov Kefir 3,5% mm Pet 330 g","1,38 €",jogurt 
Z bregov tekući voćni jogurt jagoda vanilija 330 g,"1,30 €",jogurt 
Z bregov tekući voćni jogurt malina kupina 330 g,"1,30 €",jogurt 
B Aktiv LGG Jogurt 150 g,"0,79 €",jogurt 
Dukat jogo jogurt voćni jagoda 150 g,"0,49 €",jogurt 
Dukat jogurt voćni 1 kg,"2,95 €",jogurt 
"Dukat jogurt čvrsti 3,2% m.m. 800 g","2,22 €",jogurt 
Dukat dukatos grčki tip jogurta badem pistacija 150 g,"1,15 €",jogurt 
Dukat dukatos grčki tip jogurta natur 150 g,"1,05 €",jogurt 
"Moje jutro jogurt 3,2% mm 180 g","0,49 €",jogurt 
"Z bregov čvrsti jogurt 3,2% 180 g","0,49 €",jogurt 
Vindija 'z bregov jogurt čvrsti 900 g,"3,05 €",jogurt 
Moje jutro jogurt tekući 2.8% mm 180g,"0,40 €",jogurt 
B Aktiv LGG Trešnja 330 g,"1,88 €",jogurt 
Vilikis Natur 150g Vindija,"1,09 €",jogurt 
"Dukat jogurt tekući 2,8% m.m. 230 g","0,87 €",jogurt 
"Dukat Acidofil 3,2% mm 180 g","0,75 €",jogurt 
"Vindija 'z bregov jogurt 2,8% m.m. 1,75 kg","2,99 €",jogurt 
Dukat kefir 1 kg,"2,82 €",jogurt 
Z Bregov Fortia Jogurt Natur 1000 g,"3,29 €",jogurt 
Dukat dukatino jogurt gric 122 g,"1,65 €",jogurt 
"Vindija 'z bregov jogurt 0,9% m.m. 1 kg","2,82 €",jogurt 
B Aktiv LGG Jogurt 330 g,"1,72 €",jogurt 
B Aktiv LGG Jogurt Acai Šumski Mix 330 g,"1,90 €",jogurt 
B Aktiv LGG Jagoda 330 g,"1,88 €",jogurt 
Moje jutro jogurt tekući 2.8% mm 1 kg,"1,77 €",jogurt 
Zott jogobella voćni jogurt razne vrste 150 g,"0,86 €",jogurt 
"B Aktiv LGG Jogurt 2,4% mm 1 kg","2,85 €",jogurt 
"Vindija 'z bregov jogurt 2,8% m.m. 1 kg","2,72 €",jogurt 
Kefir 1000 g,"2,92 €",jogurt 
Vindija freska voćni jogurt mix 150 g,"0,85 €",jogurt 
"Dukat jogurt 2,8% m.m. 1 kg","2,48 €",jogurt 
"Vindija 'z bregov kefir 3,5% m.m. 200 g","0,87 €",jogurt 
Dukat dukatos grčki tip jogurta jagoda 150 g,"1,15 €",jogurt 
Dukat brzo & fino vrhnje za kavu 10 x 10 g,"1,52 €",vrhnje 
Dukat brzo & fino šlag pjena 250 ml,"4,65 €",vrhnje 
Vindija 'z bregov kiselo vrhnje 20% m.m. 200 g,"1,62 €",vrhnje 
"Vindija 'z bregov vrhnje za kuhanje 20% m.m. 0,2 l","2,12 €",vrhnje 
Moje Jutro Vrhnje Kiselo 12% mm 180g,"0,73 €",vrhnje 
Alpro sojino vrhnje za kuhanje 250 ml,"2,59 €",vrhnje 
Dukat kiselo vrhnje 12% m.m. 200 g,"1,09 €",vrhnje 
Meggle creme patisserie 200 ml,"1,39 €",vrhnje 
Vindija 'z bregov vrhnje kiselo 25% m.m. 300 g,"2,02 €",vrhnje 
Dukat kiselo vrhnje 20% m.m. 200 g,"0,95 €",vrhnje 
Dukat vrhnje za šlag 33% m.m. 500 g,"4,35 €",vrhnje 
Dukat brzo & fino mileram 400 g,"2,92 €",vrhnje 
Meggle vrhnje za kuhanje 20% mm 500 ml,"3,79 €",vrhnje 
"Vindija 'z bregov vrhnje za kuhanje 0,5 l","3,62 €",vrhnje 
Dukat vrhnje za kuhanje 200 g,"1,72 €",vrhnje 
Meggle creme patisserie vrhnje za šlag 500 ml,"2,35 €",vrhnje 
Vindija 'z bregov kiselo vrhnje 12% m.m. 200 g,"0,85 €",vrhnje 
Dukat brzo&fino vrhnje za kuhanje 500 g,"3,62 €",vrhnje 
Dukat maslac 20 g,"0,55 €",maslac 
Markenbutter Maslac 250 g,"3,29 €",maslac 
Rama margarin classic 225 g,"0,99 €",maslac 
Zvijezda Margarin Stolni 250 g,"1,35 €",maslac 
Bakina kuhinja margarin za kolače i kuhanje 250 g,"1,05 €",maslac 
Margo Nova 225g,"1,49 €",maslac 
Meggle Maslac 200g,"3,59 €",maslac 
Meggle alpinesse classic namaz 250 g,"4,89 €",maslac 
Dukat Maslac 250 g,"4,49 €",maslac 
Z Bregov Maslac 250 g,"4,15 €",maslac 
"Z Bregov Protein Mliječni Napitak Vanilija 0,5 l","2,58 €",mlijecni deserti 
"Vindija 'z bregov proteinski napitak čokolada 0,5 l","2,58 €",mlijecni deserti 
"Z bregov protein mliječni napitak jagoda 0,5 l","2,48 €",mlijecni deserti 
"Z bregov proteinski napitak pistacija 0,5 l","2,58 €",mlijecni deserti 
Zott monte snack 29 g,"0,59 €",mlijecni deserti 
Dukat dukatino svježi sir s voćem 6 x 50 g,"2,85 €",mlijecni deserti 
Ledo čašica kesten desert premium 140 g,"2,65 €",mlijecni deserti 
Kinder maxi king mliječni desert 35 g,"0,94 €",mlijecni deserti 
Vindija choco loco mliječni puding 1 pak 4x125 g,"2,12 €",mlijecni deserti 
"Dukat sensia snack , okus vanilija i žitarice 190 g","1,39 €",mlijecni deserti 
"Dukat fit mliječni napitak čokolada 0,5 l","2,52 €",mlijecni deserti 
"Dukat fit mliječni proteinski napitak s okusom vanilije 0,5 l","2,52 €",mlijecni deserti 
Z bregov protein skyr bourbon vanilija 200 g,"1,55 €",mlijecni deserti 
Vindija protein skyr šumsko voće 200 g,"1,55 €",mlijecni deserti 
Zott protein puding vanilija 200 g,"1,69 €",mlijecni deserti 
Zott protein puding čokolada 200 g,"1,69 €",mlijecni deserti 
Vindija 'z bregov protein skyr islandski tip jogurta 200 g,"1,55 €",mlijecni deserti 
Vindija 'z bregov protein jogurt jagoda 200 g,"1,55 €",mlijecni deserti 
Alpro desert od soje s okusom čokolade 4x125 g,"4,25 €",mlijecni deserti 
Alpro puding od soje s okusom vanilije 4x125 g,"4,25 €",mlijecni deserti 
"Vindija 'z bregov mliječni proteinski napitak kokos 0,5 l","1,99 €",mlijecni deserti 
Dukat dolce puding čokolada šlag 170 g,"0,83 €",mlijecni deserti 
Vindija 'z bregov vilikis grčki tip jogurta voćni mix 150 g,"1,09 €",mlijecni deserti 
Kinder pingui mliječni desert 30 g,"0,76 €",mlijecni deserti 
Dukat dolce puding vanilija sa šlagom 170g,"0,83 €",mlijecni deserti 
Zott monte mliječni desert 55 g,"2,12 €",mlijecni deserti 
"Vindija 'z bregov protein mliječni napitak čokolada 0,5 l","1,99 €",mlijecni deserti 
Kinder milch-schnitte mliječni desert 28 g,"0,76 €",mlijecni deserti 
Vindija tres chic puding dupla čokolada 200 g,"1,45 €",mlijecni deserti 
Vindija tres chic puding praline i tamna čokolada 200 g,"1,45 €",mlijecni deserti 
Vindija 'z bregov protein puding čokolada 180 g,"1,52 €",mlijecni deserti 
Zott puding od čokolade sa šlagom 175 g,"0,62 €",mlijecni deserti 
Vindija 'z bregov protein puding vanilija 180 g,"1,52 €",mlijecni deserti 
Zott monte mliječni desert 150 g,"1,59 €",mlijecni deserti 
Zott monte mliječni desert sa čokoladom i lješnjacima 100 g,"3,22 €",mlijecni deserti 
Vindija mliječni puding čokolada sa šlagom 1 pak 4x125 g,"1,69 €",mlijecni deserti 
B Aktiv Smoothie Borovnica Banana 330 g,"1,39 €",mlijecni deserti 
B Aktiv LGG Smoothie Jagoda Ananas 330 g,"1,39 €",mlijecni deserti 
Vindija mliječni puding vanilija sa šlagom 1 pak 4x125 g,"1,69 €",mlijecni deserti 
Vindija mliječni puding vanilija 125 g,"0,69 €",mlijecni deserti 
Vindija mliječni puding čokolada 125 g,"0,69 €",mlijecni deserti 
Luneta jaja m razred 1 pak 10 kom,"3,42 €",jaja 
Moje jutro jaja l podni uzgoj 10/1,"3,15 €",jaja 
Moje jutro jaja m podni uzgoj 10/1,"3,15 €",jaja 
President brie sir 200 g,"4,42 €",meki sirevi 
President zrnati sir s vlascem 200 g,"2,49 €",meki sirevi 
Dukat salakis sir feta 250 g,"5,25 €",meki sirevi 
Galbani mozzarella sir125 g,"1,89 €",meki sirevi 
Bayernland zrnati sir 200 g,"2,22 €",meki sirevi 
Meggle mozzarella mini 125 g,"2,29 €",meki sirevi 
Meggle mozzarella sir 125 g,"2,35 €",meki sirevi 
President sir podravec 250 g,"4,05 €",polutvrdi sirevi 
Paladin Gouda Rinfuza 100g,"0,65 € / 100 g",polutvrdi sirevi 
Vindija Gouda Rinfuza 100g,"0,65 € / 100 g",polutvrdi sirevi 
Sirela Gouda Rinfuza 100g,"0,65 € / 100 g",polutvrdi sirevi 
Paladin Edamer Rinfuza 100g,"1,28 € / 100 g",polutvrdi sirevi 
Vindija caprodur 280 g,"8,65 €",polutvrdi sirevi 
Moje jutro sir gauda 300 g,"4,99 €",polutvrdi sirevi 
President sir gouda 400 g,"4,19 €",polutvrdi sirevi 
Vindija ovidur 280 g,"8,45 €",polutvrdi sirevi 
President sir podravec 400 g,"4,19 €",polutvrdi sirevi 
President Sir Emmental Rinfuza 100g,"1,40 € / 100 g",polutvrdi sirevi 
Vindija Tilzit Rinfuza 100g,"1,26 € / 100 g",polutvrdi sirevi 
President sir podravec narezani 150 g,"3,42 €",polutvrdi sirevi 
President sir gouda narezana 150 g,"3,42 €",polutvrdi sirevi 
Sir paški 200 g,"10,19 €",tvrdi sirevi 
Sir primorac 200 g,"4,65 €",tvrdi sirevi 
Paška sirana trapist sir 200 g,"5,15 €",tvrdi sirevi 
Paška sirana dalmatinac sir 200 g,"6,05 €",tvrdi sirevi 
Moje Jutro Sir Trapist cca 350g,"11,99 € / kg",tvrdi sirevi 
Moje jutro sir trapist 500 g,"6,59 €",tvrdi sirevi 
Sirela Trapist Kora cca 350g,"14,29 € / kg",tvrdi sirevi 
Vindija Sir Bovidur cca 350g,"1,60 € / 100 g",tvrdi sirevi 
President sir ribanac 40 g,"1,19 €",tvrdi sirevi 
Vindija tilzit sir narezani 150 g,"3,79 €",rezani topljivi i svjezi 
Moje jutro sir ementaler 125 g,"2,65 €",rezani topljivi i svjezi 
Zdenka sir topljeni šunka 140 g,"2,85 €",rezani topljivi i svjezi 
President pizza cheese americana 200 g,"3,79 €",rezani topljivi i svjezi 
President sir za pizzu a la margarita 200 g,"3,79 €",rezani topljivi i svjezi 
President zrnati sir bez laktoze 200 g,"2,49 €",rezani topljivi i svjezi 
Zdenka retro sir topljeni 140 g,"2,85 €",rezani topljivi i svjezi 
Vindija 'z bregov krema chessecake 500 g,"4,29 €",rezani topljivi i svjezi 
President sir salakis feta 150 g,"4,32 €",rezani topljivi i svjezi 
Galbani sir mascarpone 250 g,"4,29 €",rezani topljivi i svjezi 
Moje jutro sir ementaler 300 g,"5,45 €",rezani topljivi i svjezi 
Moje jutro sir edamac 125 g,"2,65 €",rezani topljivi i svjezi 
Moje jutro sir gauda 125 g,"2,65 €",rezani topljivi i svjezi 
Zdenka sir topljeni 140 g,"2,85 €",rezani topljivi i svjezi 
President topljeni sir picok classic 140 g,"2,19 €",rezani topljivi i svjezi 
Zott zottarella sir 125 g,"1,92 €",rezani topljivi i svjezi 
President zagrebački svježi sir 375 g,"2,29 €",rezani topljivi i svjezi 
Vindija 'z bregov sir mascarpone 500 g,"6,69 €",rezani topljivi i svjezi 
Meggle sir ribani 40g,"1,42 €",rezani topljivi i svjezi 
President posni sir 500 g,"2,92 €",rezani topljivi i svjezi 
President zrnati sir 200 g,"2,49 €",rezani topljivi i svjezi 
Moje jutro sir topljeni 140 g,"1,72 €",rezani topljivi i svjezi 
Vindija 'z bregov sir svježi polumasni 500 g,"3,32 €",rezani topljivi i svjezi 
Zdenka topljeni sir classic 140 g,"2,85 €",rezani topljivi i svjezi 
President topljeni sir u listićima gouda 150 g,"2,29 €",rezani topljivi i svjezi 
Meggle bel ami nature topljeni sir 140 g,"2,62 €",sirni namazi 
Philadelphia namaz sirni natur 175 g,"2,29 €",sirni namazi 
President mladi kajmak 100 g,"2,79 €",sirni namazi 
Dukat dukatela mliječni namaz original 70 g,"0,98 €",sirni namazi 
Moje jutro svježi polumasni sir 500g,"1,69 €",sirni namazi 
Moje jutro mliječni namaz 70 g,"0,66 €",sirni namazi 
Vindija 'z bregov vivis svježi krem sir vlasac 100 g,"1,39 €",sirni namazi 
Dukat dukatela mliječni namaz original 150 g,"1,99 €",sirni namazi 
Belje abc svježi krem sir classic 100 g,"1,15 €",sirni namazi 
Vindija 'z bregov vivis svježi krem sir original 200 g,"2,42 €",sirni namazi 
Vindija vivis 'z bregov svježi krem sir original 100 g,"1,39 €",sirni namazi 
Belje abc svježi krem sir 200 g,"2,65 €",sirni namazi 
"Cekin hrvatsko pile komad cca 1,5 kg","3,31 € / kg",piletina i puretina 
Vindija cekin pileći file mini 400 g,"6,15 €",piletina i puretina 
Cekin Pileća Krila,"6,09 € / kg",piletina i puretina 
Cekin pileći zabatak 1kg,"5,15 € / kg",piletina i puretina 
Vindija vindon pureće mesne okruglice 420 g,"5,15 €",piletina i puretina 
Vindon pureće mljeveno meso 500 g,"3,99 €",piletina i puretina 
Cekin panirani pileći odresci 200g,"3,32 €",piletina i puretina 
Vindija cekin pileća jetra sa srcem 500 g,"1,69 €",piletina i puretina 
Cekin Filetino Classic 1kg,"10,49 €",piletina i puretina 
Vindija cekin panirani pileći file 290 g,"2,99 €",piletina i puretina 
Cekin Pileći Batak/Zabatak 540g,"4,25 € / kg",piletina i puretina 
"Vindija cekin odresci pilećeg filea od prsa, pakiranje cca 400 g","6,15 €",piletina i puretina 
Cekin pileći file 500 g,"6,35 €",piletina i puretina 
Vindija cekin panirani pileći medaljoni 660 g,"7,89 €",piletina i puretina 
Pileći file od prsa Studenac mesnica,"7,65 € / kg",piletina i puretina 
Pileća zadnja četvrt Studenac Mesnica,"2,87 € / kg",piletina i puretina 
Pik svinjska slabina i leđa s kosti odrezak 575 g,"5,39 €",svinjetina junetina i ostalo 
Pik miješano meso 540 g,"3,59 €",svinjetina junetina i ostalo 
Pik čevapčići grill 600 g,"6,85 €",svinjetina junetina i ostalo 
Pik marinirana svinjska rebra,"8,85 € / kg",svinjetina junetina i ostalo 
Pik svinjsko carsko meso 550 g,"4,72 €",svinjetina junetina i ostalo 
Pik ćevapi juneći 480 g,"6,29 €",svinjetina junetina i ostalo 
Pik svinjski vrat s kosti odrezak 640 g,"5,15 €",svinjetina junetina i ostalo 
Pik burger boom 300 g,"2,99 €",svinjetina junetina i ostalo 
Pik junetina mljevena 540 g,"6,29 €",svinjetina junetina i ostalo 
Gavrilović hrenovke u slanoj vodi 570 g ocijeđena masa 300 g,"5,99 €",hrenovke kobasice i salame 
Dobro Salama Zimska Rinfuza 100g,"1,97 € / 100 g",hrenovke kobasice i salame 
Gavrilović Mortadela San Giorgio S Maslinama Rinfuza 100g,"1,22 € / 100 g",hrenovke kobasice i salame 
Pik Čajna Kobasica Rinfuza 100g,"2,00 € / 100 g",hrenovke kobasice i salame 
Pavo frankfurt hrenovke 1000g,"2,18 €",hrenovke kobasice i salame 
Podravka Salama Tirolska Rinfuza 100g,"1,04 € / 100 g",hrenovke kobasice i salame 
Gavrilović Graničarska Kobasica Rinfuza 100g,"2,20 € / 100 g",hrenovke kobasice i salame 
Bonkulović Šunka Suha Dalmatinska Rinfuza 100g,"1,35 € / 100 g",hrenovke kobasice i salame 
Gavrilović Mortadela San Giorgio Rinfuza 100g,"1,22 € / 100 g",hrenovke kobasice i salame 
Pik hot dog hrenovke 250 g,"3,19 €",hrenovke kobasice i salame 
Sljeme Šunka U Ovitku Rinfuza 100g,"0,75 € / 100 g",hrenovke kobasice i salame 
Gavrilović Mesni Narezak Rinfuza 100g,"1,28 € / 100 g",hrenovke kobasice i salame 
Pik Šunka Za Pizzu Rinfuza 100g,"0,87 € / 100 g",hrenovke kobasice i salame 
Vindija cekin pileće hrenovke 300 g,"1,72 €",hrenovke kobasice i salame 
Kranjska kobasica 300g Gavrilović,"4,42 €",hrenovke kobasice i salame 
Pik Kobasica Tirolska Rinfuza 100g,"1,11 € / 100 g",hrenovke kobasice i salame 
Gavrilović Kulenova Seka Rinfuza 100g,"2,21 € / 100 g",hrenovke kobasice i salame 
Pik kobasica debrecinka 440 g,"4,62 €",hrenovke kobasice i salame 
Poli pileća posebna kobasica minii 220 g,"2,19 €",hrenovke kobasice i salame 
